Rank in 2020,Rank in 2019,Institution Name,Country,SIZE,AGE,Academic Reputation,rank_1,Faculty Student,rank_2,Citations per Faculty,rank_3,Overall Score
1,1,Massachusetts Institute of Technology (MIT),United States,M,5,100,5,100,15,99.8,7,100
2,2,Stanford University,United States,L,5,100,4,100,12,98.6,13,98.4
3,3,Harvard University,United States,L,5,100,1,98.7,40,99.6,8,97.4
4,5,University of Oxford,United Kingdom,L,5,100,3,100,8,84.7,45,97.2
5,4,California Institute of Technology (Caltech),United States,S,5,97.8,23,100,4,100,4,96.9
6,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,L,5,98.4,22,85,113,98.4,15,95.9
7,6,University of Cambridge,United Kingdom,L,5,100,2,100,10,74.2,74,95
8,10,UCL (University College London),United Kingdom,XL,5,99.3,14,98.1,43,76.7,68,94.8
9,8,Imperial College London,United Kingdom,L,5,98.6,21,99.8,30,72.1,85,94.1
10,9,University of Chicago,United States,L,5,99.5,13,96.5,54,78.5,60,92
11,12,Nanyang Technological University (NTU),Singapore,L,3,92.1,37,93.9,66,88.8,36,91.8
11,11,National University of Singapore (NUS),Singapore,XL,5,99.8,11,88.3,89,75.7,71,91.8
13,13,Princeton University,United States,M,5,99.9,10,,180,20.1,554,24.5
489,  498=,Amirkabir University of Technology,Iran,M,4,4.7,501,7.4,601,94.9,22,24.4
489,511-520,Universidad de Santiago de Chile (USACH),Chile,L,5,35.6,231,13.1,601,4.7,601,24.4
491,  472=,Indian Institute of Technology Guwahati (IITG),India,M,3,11.7,501,18.7,601,71.2,89,24.3
491,521-530,Lappeenranta University of Technology,Finland,S,2,6.6,501,23.6,599,56.3,169,24.3
491,480,M.O.Auezov South Kazakhstan State University,Kazakhstan,L,4,7,501,94.1,64,1,601,24.3
491,531-540,Universidad de Montevideo,Uruguay,S,2,13.4,501,79.1,148,1.3,601,24.3
491,  453=,Universit?? Aix-Marseille,France,XL,1,33.9,250,13.5,601,25,485,24.3
491,  439=,University of Delaware,United States,L,5,11,501,11.6,601,67.1,107,24.3
491,  481=,V.N. Karazin Kharkiv National University,Ukraine,L,5,10.8,501,72.2,183,1.8,601,24.3
498,531-540,Czech Technical University In Prague,Czech Republic,L,5,18.7,443,33.9,454,10.6,601,24.2
498,  422=,Universit?? de Montpellier,France,XL,1,20.3,409,13.1,601,42.8,304,24.2
498,  481=,University of Eastern Finland,Finland,M,3,14.5,501,43.8,346,33.5,399,24.2
